Year,GLD,XUS_TSM,XUS_LCB,XUS_LCV,XUS_LCG,XUS_MCB,XUS_MCV,XUS_MCG,XUS_SCB,XUS_SCV,XUS_SCG,XUS_LT,XUS_IT,XUS_ST,EM_TSM,USA_TSM,USA_LCB,USA_LCV,USA_LCG,USA_MCB,USA_MCV,USA_MCG,USA_SCB,USA_SCV,USA_SCG,USA_LT,USA_IT,USA_ST,USA_BIL,USA_REIT,EUR-TSM,USA_INF
1970,0.061931818,-0.117133622,-0.117133622,-0.117133622,-0.117133622,-0.117133622,-0.117133622,-0.117133622,-0.117133622,-0.117133622,-0.117133622,0.044450518,0.067078729,0.070427376,-0.117133622,0.009386057,0.024436122,0.097684733,-0.044987109,0.015449283,0.069592808,-0.037478516,-0.065872551,0.027749476,-0.155546173,0.150601468,0.152695758,0.121794299,0.07564167,0.009386057,-0.09355,0.05838255
1971,0.167201712,0.295475609,0.295475609,0.295475609,0.295475609,0.295475609,0.295475609,0.295475609,0.295475609,0.295475609,0.295475609,0.238379104,0.215659753,0.195587072,0.295475609,0.163738857,0.14546498,0.059332703,0.233322825,0.211137912,0.156866686,0.270084826,0.218728682,0.157682706,0.285439426,0.098009312,0.081928116,0.067041325,0.05005,0.163738857,0.280423631,0.04292767
1972,0.487508595,0.363059307,0.363059307,0.363059307,0.363059307,0.363059307,0.363059307,0.363059307,0.363059307,0.363059307,0.363059307,0.074658041,0.070873699,0.054126499,0.363059307,0.17019966,0.203608814,0.125049314,0.243121559,0.087598871,0.115464196,0.061433761,0.088568597,0.094216746,0.084103806,0.053290634,0.042413109,0.043603924,0.04665833,0.0801,0.156189688,0.03272278
1973,0.729583975,-0.149756231,-0.149756231,-0.149756231,-0.149756231,-0.149756231,-0.149756231,-0.149756231,-0.149756231,-0.149756231,-0.149756231,0.016254916,0.05205063,0.11302777,-0.149756231,-0.177484824,-0.140046167,-0.084516525,-0.210091187,-0.218844073,-0.126972564,-0.314530833,-0.314684727,-0.225959925,-0.398534428,-0.053630356,0.03676815,0.04228759,0.08415833,-0.1551708,-0.07726243,0.0617776
1974,0.661469933,-0.2321899,-0.2321899,-0.2321899,-0.2321899,-0.2321899,-0.2321899,-0.2321899,-0.2321899,-0.2321899,-0.2321899,-0.01528006,0.067656847,0.110556454,-0.2321899,-0.272455418,-0.275001578,-0.219045527,-0.328828293,-0.2645173,-0.190627052,-0.330098971,-0.278649565,-0.214573003,-0.334274101,0.012761158,0.040221645,0.063714511,0.1024417,-0.2140274,-0.227758754,0.110548
1975,-0.247989276,0.329261924,0.312409071,0.338057125,0.289203721,0.368892096,0.380844411,0.359044556,0.368892096,0.380844411,0.359044556,0.104164962,0.072407634,0.048591939,0.329261924,0.385541587,0.339137275,0.367371654,0.310578939,0.459075245,0.535644745,0.394664365,0.54044078,0.531697531,0.550647267,0.092482145,0.067863129,0.087461168,0.06436666,0.1929727,0.406124553,0.09143147
1976,-0.040998217,0.036628103,0.035903394,0.072139593,0.001051729,0.038034485,0.030126517,0.044278194,0.038034485,0.030126517,0.044278194,0.012855819,0.043173963,0.067970901,0.069340123,0.268800153,0.220543702,0.315465743,0.125351546,0.356333135,0.455434133,0.263311065,0.445027146,0.532785173,0.36377656,0.16057773,0.1316029,0.089072684,0.05268333,0.4759233,-0.078019908,0.05744812
1977,0.226394052,0.171673291,0.148451764,0.190074867,0.106540253,0.227236432,0.263128739,0.186710215,0.227236432,0.263128739,0.186710215,0.393680284,0.356562101,0.295422327,0.069290683,-0.034479596,-0.080264216,-0.049790505,-0.103227216,0.013015808,0.051336426,-0.032547049,0.150837144,0.155008157,0.147521405,-0.014065735,0.009868692,0.036353605,0.05640833,0.2241844,0.239654694,0.06501684
1978,0.370112155,0.322544008,0.307634113,0.334726957,0.282504124,0.357391076,0.382814181,0.332792201,0.357391076,0.382814181,0.332792201,0.246544282,0.218038469,0.219564124,0.1434883,0.081160696,0.058780189,0.048999862,0.067098289,0.075900687,0.080910054,0.069299556,0.169964814,0.167535841,0.169770583,-0.021356034,0.003955037,0.034687604,0.08221666,0.1033703,0.240904564,0.07630964
1979,1.318584071,0.085620592,0.100600363,0.097070214,0.104407171,0.050957311,0.031920334,0.068485228,0.050957311,0.031920334,0.068485228,-0.062956824,-0.004071143,0.038211913,0.194834173,0.226524055,0.173895748,0.215395657,0.131401613,0.307978151,0.286241062,0.32935907,0.411613798,0.368754478,0.450858018,-0.012492912,0.044817184,0.078234525,0.11225,0.3585624,0.13158872,0.1125447
