Year,USA_TSM,WLDx_TSM,USA_INT,USA_BILL,USA_REIT
1970,0.009,-0.134,0.145,0.076,0.009
1971,0.164,0.333,0.078,0.05,0.164
1972,0.17,0.404,0.043,0.047,0.08
1973,-0.177,-0.107,0.038,0.084,-0.155
1974,-0.272,-0.185,0.046,0.102,-0.214
1975,0.386,0.329,0.072,0.064,0.193
1976,0.269,0.037,0.122,0.053,0.476
1977,-0.035,0.172,0.016,0.056,0.224
1978,0.081,0.323,0.012,0.082,0.103
1979,0.227,0.086,0.053,0.112,0.359
1980,0.333,0.224,0.039,0.131,0.244
1981,-0.033,-0.023,0.075,0.159,0.06
1982,0.221,-0.015,0.259,0.123,0.216
1983,0.23,0.236,0.069,0.091,0.306
1984,0.046,0.05,0.13,0.104,0.209
1985,0.325,0.514,0.206,0.08,0.191
1986,0.168,0.634,0.159,0.065,0.192
1987,0.022,0.232,0.018,0.069,-0.036
1988,0.179,0.245,0.067,0.077,0.135
1989,0.294,0.11,0.138,0.091,0.088
1990,-0.056,-0.232,0.086,0.081,-0.154
1991,0.345,0.115,0.147,0.058,0.357
1992,0.096,-0.127,0.072,0.037,0.146
1993,0.105,0.324,0.106,0.032,0.197
1994,0.004,0.073,-0.036,0.046,0.032
1995,0.37,0.113,0.176,0.059,0.153
1996,0.218,0.075,0.024,0.054,0.353
1997,0.316,-0.006,0.086,0.056,0.191
1998,0.252,0.167,0.101,0.055,-0.161
1999,0.22,0.359,-0.02,0.053,-0.038
2000,-0.083,-0.159,0.12,0.065,0.267
2001,-0.108,-0.206,0.077,0.037,0.126
2002,-0.212,-0.119,0.119,0.017,0.04
2003,0.309,0.435,0.029,0.012,0.36
2004,0.117,0.227,0.03,0.016,0.311
2005,0.06,0.167,0.02,0.035,0.122
2006,0.155,0.257,0.031,0.052,0.354
2007,0.058,0.13,0.093,0.053,-0.162
2008,-0.365,-0.428,0.128,0.03,-0.369
2009,0.281,0.337,-0.02,0.006,0.299
2010,0.169,0.12,0.069,0.003,0.286
2011,0.01,-0.126,0.097,0.003,0.087
2012,0.162,0.173,0.028,0.003,0.178
2013,0.347,0.23,-0.029,0.002,0.026
2014,0.118,-0.045,0.047,0.001,0.305
2015,0.002,-0.008,0.017,0.002,0.025
2016,0.133,0.033,0.018,0.006,0.086
2017,0.225,0.272,0.018,0.012,0.051
