Year,USA_TSM,WLDx_TSM,USA_INT,USA_BILL,USA_REIT,GLD,EM,SCB
1970,0.9,-13.4,14.5,7.6,0.9,6.2,-13.4,-7.9
1971,16.4,33.3,7.8,5,16.4,16.7,33.3,21.4
1972,17,40.4,4.3,4.7,8,48.8,40.4,7.9
1973,-17.7,-10.7,3.8,8.4,-15.5,73.0,-10.7,-32.4
1974,-27.2,-18.5,4.6,10.2,-21.4,66.1,-18.5,-27.5
1975,38.6,32.9,7.2,6.4,19.3,-24.8,36.9,55.7
1976,26.9,3.7,12.2,5.3,47.6,-4.1,6.9,45.1
1977,-3.5,17.2,1.6,5.6,22.4,22.6,6.9,16.9
1978,8.1,32.3,1.2,8.2,10.3,37.0,14.3,18.3
1979,22.7,8.6,5.3,11.2,35.9,131.9,19.5,41.9
1980,33.3,22.4,3.9,13.1,24.4,12.6,6.9,36.7
1981,-3.3,-2.3,7.5,15.9,6,-32.6,-20.1,3.5
1982,22.1,-1.5,25.9,12.3,21.6,15.8,-31.6,29.8
1983,23,23.6,6.9,9.1,30.6,-17.0,14.3,32.4
1984,4.6,5,13,10.4,20.9,-19.4,17.0,-4.0
1985,32.5,51.4,20.6,8,19.1,6.0,27.8,32.2
1986,16.8,63.4,15.9,6.5,19.2,19.0,11.7,8.3
1987,2.2,23.2,1.8,6.9,-3.6,24.5,14.3,-7.2
1988,17.9,24.5,6.7,7.7,13.5,-15.2,40.0,22.5
1989,29.4,11,13.8,9.1,8.8,-2.9,64.5,18.6
1990,-5.6,-23.2,8.6,8.1,-15.4,-3.1,-10.8,-16.7
1991,34.5,11.5,14.7,5.8,35.7,-8.6,59.4,46.0
1992,9.6,-12.7,7.2,3.7,14.6,-5.7,11.1,19.0
1993,10.5,32.4,10.6,3.2,19.7,17.7,74.3,17.0
1994,0.4,7.3,-3.6,4.6,3.2,-2.2,-7.3,-2.1
1995,37,11.3,17.6,5.9,15.3,1.0,0.9,30.7
1996,21.8,7.5,2.4,5.4,35.3,-4.5,16.2,16.2
1997,31.6,-0.6,8.6,5.6,19.1,-21.4,-16.5,24.2
1998,25.2,16.7,10.1,5.5,-16.1,-0.8,-17.9,-0.6
1999,22,35.9,-2,5.3,-3.8,0.9,62.1,24.4
2000,-8.3,-15.9,12,6.5,26.7,-5.4,-27.3,4.0
2001,-10.8,-20.6,7.7,3.7,12.6,0.7,-2.6,5.1
2002,-21.2,-11.9,11.9,1.7,4,25.6,-7.1,-17.8
2003,30.9,43.5,2.9,1.2,36,19.9,58.2,49.4
2004,11.7,22.7,3,1.6,31.1,4.6,26.5,18.3
2005,6,16.7,2,3.5,12.2,17.8,32.5,7.5
2006,15.5,25.7,3.1,5.2,35.4,23.2,29.8,15.7
2007,5.8,13,9.3,5.3,-16.2,31.9,39.4,0.3
2008,-36.5,-42.8,12.8,3,-36.9,4.3,-52.7,-34.1
2009,28.1,33.7,-2,0.6,29.9,25.0,76.6,35.2
2010,16.9,12,6.9,0.3,28.6,29.2,19.3,27.8
2011,1,-12.6,9.7,0.3,8.7,8.9,-18.5,-3.3
2012,16.2,17.3,2.8,0.3,17.8,8.3,19.0,17.0
2013,34.7,23,-2.9,0.2,2.6,-27.3,-4.9,42.8
2014,11.8,-4.5,4.7,0.1,30.5,0.1,0.8,5.1
2015,0.2,-0.8,1.7,0.2,2.5,-12.1,-15.2,-4.1
2016,13.3,3.3,1.8,0.6,8.6,8.1,11.9,19.5
2017,22.5,27.2,1.8,1.2,5.1,12.7,31.6,18.4
